target,mae_mean,mae_std,rmse_mean,rmse_std,r2_mean,r2_std,directional_accuracy_mean,directional_accuracy_std,hit_rate_mean,hit_rate_std,pearson_mean,pearson_std,spearman_mean,spearman_std,n_folds,n_samples,model
y_XLP,0.0085304579447809,0.0025297935045041,0.0106641720473542,0.0034688844493699,-0.8150869587104919,0.2506016610091389,0.2976059781364041,0.0732912500596805,0.2976059781364041,0.0732912500596805,-0.0304454136054575,0.136526257090928,-0.0864190485244726,0.1423057829089946,25,823,baseline_last
y_XLRE,0.0103497887491304,0.0028904026540963,0.0135873862255798,0.0047516777007307,-0.8850728521472585,0.2786028900557997,0.3057789906816276,0.075600946061094,0.3057789906816276,0.075600946061094,-0.0673699284522655,0.1682252042661318,-0.1179135815657269,0.1783302797901902,25,823,baseline_last
y_XLU,0.0101814519342244,0.0022893062082715,0.0129041708411758,0.0030502106266002,-0.7482788744842636,0.1567358675834735,0.3444115695540645,0.0760153232722602,0.3444115695540645,0.0760153232722602,-0.0620232721272798,0.1381451440862169,-0.0665348097298539,0.1501248683149061,25,823,baseline_last
y_XLV,0.0097887447156189,0.0030028372026625,0.0128651426763523,0.004536307369534,-0.7386432675680067,0.2580862100462508,0.3794216179312528,0.0816189300938495,0.3794216179312528,0.0816189300938495,0.0062154638839131,0.1668727144102303,-0.0219338120703411,0.1811761404320806,25,823,baseline_last
y_XLY,0.0141714410760514,0.0051083429583044,0.018868324146255,0.0087485574273978,-0.9287488710091544,0.3187488057047145,0.28946604401219,0.0966507842597909,0.28946604401219,0.0966507842597909,-0.1229003869807789,0.1924006889712901,-0.1289284368852611,0.2414042456878996,25,823,baseline_last
y_BTC-USD,0.0187913787611575,0.0038233743407905,0.0252203479153699,0.0058456708420555,-0.197701641017573,0.1287380887642809,0.4946666666666666,0.0504909232766973,0.4946666666666666,0.0504909232766973,-0.0005315288405612,0.1069241120118405,-0.0026308077627985,0.098943941785421,25,1500,knn
y_GLD,0.0090729472387809,0.0033816647883629,0.0119825143279547,0.0054930582060786,-0.0956349176721137,0.0882930590653981,0.4363616795913956,0.0665095778646725,0.4363616795913956,0.0665095778646725,-0.0380559936545002,0.1528898883091905,-0.0381072394617372,0.1648843274504405,25,823,knn
y_TLT,0.0063631453392332,0.0008368719328032,0.0079374087933537,0.0010545065287745,-0.2724075301624052,0.2679514773755143,0.4832852846656091,0.0663471962446302,0.4832852846656091,0.0663471962446302,0.0016130816403266,0.1303717366592977,-0.0123528019805083,0.1039135781443005,25,823,knn
y_UUP,0.0035211031198754,0.0007631462466079,0.004601648937429,0.001133519553292,-0.128734003056212,0.0963341434691642,0.50561208606594,0.0654405876328017,0.50561208606594,0.0654405876328017,-0.054560572838192,0.1600952278730329,-0.0010370235453671,0.1481184951320163,25,823,knn
y_XLB,0.0090688981866135,0.0025946069862453,0.0118736643906375,0.0048275311386556,-0.1687619547339142,0.1558042376605219,0.490097870340771,0.0970519055364066,0.490097870340771,0.0970519055364066,-0.0131590437079747,0.1712304429152659,-0.013800761161201,0.1796194449922916,25,823,knn
y_XLC,0.0080834159667564,0.0030572567065176,0.010687931005215,0.0049210956334401,-0.2245009296087703,0.1609696847543673,0.4754318295667181,0.063158944302959,0.4754318295667181,0.063158944302959,-0.0318334293213629,0.1544747802834973,-0.0027162280881832,0.1631183053615467,25,823,knn
y_XLE,0.0112841914128171,0.0028831295711807,0.0147915150515334,0.0056651854204447,-0.1189535775347603,0.145061525362408,0.4764126842985869,0.0821778784824159,0.4764126842985869,0.0821778784824159,0.0808805188911725,0.1511514583506641,0.0785490142160439,0.1768474031424004,25,823,knn
y_XLF,0.0082908681954435,0.0023296995129041,0.011754602231038,0.0046431287172587,-0.162948509947971,0.132968988801213,0.4816213436243862,0.0978929344390646,0.4816213436243862,0.0978929344390646,-0.0286947790186594,0.1657676908119557,0.0067260517775036,0.1579122163479193,25,823,knn
y_XLI,0.008257805439694,0.0027733357165957,0.0112113840695856,0.0048688237436906,-0.1975520151526982,0.191684517408826,0.5077713642490519,0.0919460677980939,0.5077713642490519,0.0919460677980939,-0.0508157818344205,0.1564744504783042,0.0032408573292355,0.1578083302238178,25,823,knn
y_XLK,0.0117342247651591,0.0042272745897384,0.0157247812200919,0.0069613931451681,-0.1173716880457485,0.0978504493224556,0.4802654805367787,0.0969320155330827,0.4802654805367787,0.0969320155330827,-0.0254788295128215,0.1857379066018208,-0.0313444965981943,0.1790437169196164,25,823,knn
y_XLP,0.0065167674637568,0.0016539139978594,0.0081325660407685,0.0024999601430098,-0.058560701255328,0.0996431500967376,0.4753992635980466,0.0920543551727237,0.4753992635980466,0.0920543551727237,0.0315187672169802,0.2241254508402293,0.0121114343343357,0.1946862091692496,25,823,knn
y_XLRE,0.0080650294039036,0.0016674337848696,0.0106377790404456,0.0028958895826321,-0.2045183966934008,0.2066925399436529,0.4986380921700394,0.087384842831668,0.4986380921700394,0.087384842831668,0.05939127780369,0.1813405973222257,0.0863280398977395,0.1775208295033638,25,823,knn
y_XLU,0.0078634880795957,0.0013141609183575,0.0102794022166652,0.0024030384597324,-0.1115814923580103,0.089562552839138,0.525855758856773,0.0755112343077721,0.525855758856773,0.0755112343077721,-0.0514294278104471,0.1879791479593822,-0.0078590756452897,0.2024954135263,25,823,knn
y_XLV,0.0077390075370049,0.0021745016112047,0.0100859631057425,0.0030904881974913,-0.0819141629229,0.0968225164579234,0.4942944043988668,0.0857791159818893,0.4942944043988668,0.0857791159818893,0.0286489678277099,0.1700953942595253,0.0191412978101421,0.1840388132615439,25,823,knn
