model,target,fold_id,n_samples,mae,rmse,r2,directional_accuracy,hit_rate,pearson,spearman
baseline_zero,y_XLF,9,35,0.013580576567971429,0.02285549439858042,-0.016862737239050185,0.0,0.0,,
baseline_zero,y_XLF,10,35,0.014826813775570078,0.0236340097509565,-0.0016319209255926115,0.0,0.0,,
baseline_zero,y_XLF,11,35,0.01343771921871711,0.022614881953206108,-0.00011529574867363834,0.02857142857142857,0.02857142857142857,,
baseline_zero,y_XLF,12,34,0.007188454984177841,0.010255190456402708,-0.022467523008765422,0.058823529411764705,0.058823529411764705,,
baseline_zero,y_XLF,13,35,0.0062214079190482325,0.008069552474628582,-0.0007660383933250081,0.05714285714285714,0.05714285714285714,,
baseline_zero,y_XLF,14,34,0.006872196001047983,0.008520552102996806,-0.0007153854239885238,0.029411764705882353,0.029411764705882353,,
baseline_zero,y_XLF,15,34,0.0068030303247639,0.008213005179935562,-0.013917649544497479,0.0,0.0,,
baseline_zero,y_XLF,16,33,0.006661911845039822,0.008341213952736811,-0.012104578186980852,0.0,0.0,,
baseline_zero,y_XLF,17,33,0.006041850837583503,0.008040451447410344,-0.00018205082783073756,0.0,0.0,,
baseline_zero,y_XLF,18,34,0.006988375257827097,0.009509954169640296,-0.018540997044879992,0.029411764705882353,0.029411764705882353,,
baseline_zero,y_XLF,19,35,0.006892093839327813,0.009045201360589195,-0.023798193888135977,0.02857142857142857,0.02857142857142857,,
baseline_zero,y_XLF,20,34,0.0072839892394096165,0.009417020961727744,-0.02378971893916937,0.029411764705882353,0.029411764705882353,,
baseline_zero,y_XLF,21,29,0.006251609827096965,0.00770208855048492,-0.08378698814532015,0.0,0.0,,
baseline_zero,y_XLF,22,27,0.006459613281905276,0.008436200566138622,-0.013029669830321167,0.0,0.0,,
baseline_zero,y_XLF,23,29,0.007374852630081273,0.009337803583317364,-0.0821101285744994,0.0,0.0,,
baseline_zero,y_XLF,24,33,0.008715606480420458,0.010521434857939741,-0.03270988409613307,0.0,0.0,,
baseline_zero,y_XLE,0,35,0.01049825449029586,0.01251304764405468,-0.014721663231145543,0.0,0.0,,
baseline_zero,y_XLE,1,35,0.010214922409365784,0.012748479820893813,-0.0015336116178079617,0.0,0.0,,
baseline_zero,y_XLE,2,37,0.00971498206180547,0.013204739669688001,-0.021686553406068176,0.0,0.0,,
baseline_zero,y_XLE,3,34,0.008109833273532159,0.012093400591968536,-0.0036013886732149114,0.0,0.0,,
baseline_zero,y_XLE,4,32,0.008227046844800967,0.01166705329632995,-0.008354533607870973,0.0,0.0,,
baseline_zero,y_XLE,5,28,0.00833039408253077,0.01071916234708763,-3.957660389386497e-05,0.0,0.0,,
baseline_zero,y_XLE,6,29,0.009604514022488853,0.012106993861805408,-0.003439604448648881,0.0,0.0,,
baseline_zero,y_XLE,7,30,0.010511488854488781,0.012575357624905461,-0.002214252773477643,0.0,0.0,,
baseline_zero,y_XLE,8,34,0.010685723380866633,0.013154222578704952,-0.0034909223305961135,0.0,0.0,,
baseline_zero,y_XLE,9,35,0.018211199350110525,0.029277001897324968,-0.016737668099356062,0.0,0.0,,
baseline_zero,y_XLE,10,35,0.01830007086356391,0.029590763905596344,-0.004385001688149481,0.0,0.0,,
baseline_zero,y_XLE,11,35,0.0172281719263086,0.029120314685496987,-0.008244738814230823,0.0,0.0,,
baseline_zero,y_XLE,12,34,0.010101914902164558,0.012657013243160068,-0.07130034939789676,0.0,0.0,,
baseline_zero,y_XLE,13,35,0.00936893848574352,0.0113745010133663,-0.057867238334047943,0.0,0.0,,
baseline_zero,y_XLE,14,34,0.009778701291615751,0.011551546658289847,-0.028814297831366575,0.0,0.0,,
baseline_zero,y_XLE,15,34,0.008360671526277078,0.010536033230359952,-0.021293951266616817,0.029411764705882353,0.029411764705882353,,
baseline_zero,y_XLE,16,33,0.00852535428513244,0.010716763576908839,-0.011643590774065071,0.030303030303030304,0.030303030303030304,,
baseline_zero,y_XLE,17,33,0.00907428286352343,0.011596913329690832,-0.00545281886640292,0.06060606060606061,0.06060606060606061,,
baseline_zero,y_XLE,18,34,0.008966124756848578,0.010981707190173879,-1.7100052107643648e-06,0.029411764705882353,0.029411764705882353,,
baseline_zero,y_XLE,19,35,0.009155199165765453,0.010740408200903637,-1.0116122656445015e-05,0.02857142857142857,0.02857142857142857,,
baseline_zero,y_XLE,20,34,0.008776625299907633,0.009879190615854731,-0.01552524568249547,0.0,0.0,,
baseline_zero,y_XLE,21,29,0.01003852273414369,0.011940823534777115,-0.0008604684833821707,0.034482758620689655,0.034482758620689655,,
baseline_zero,y_XLE,22,27,0.011004410892390147,0.014044511779611473,-0.0027624096174405643,0.037037037037037035,0.037037037037037035,,
baseline_zero,y_XLE,23,29,0.013360536847379877,0.016502434260993994,-0.07185303336137117,0.034482758620689655,0.034482758620689655,,
baseline_zero,y_XLE,24,33,0.01157381711720369,0.014607823325488259,-0.1508227547938965,0.0,0.0,,
baseline_zero,y_XLV,0,35,0.0049074772877325,0.006645829956786644,-0.006337237371793147,0.0,0.0,,
baseline_zero,y_XLV,1,35,0.004765791423268657,0.005812233339060857,-0.054095480012713804,0.0,0.0,,
baseline_zero,y_XLV,2,37,0.005890713805199452,0.007259562872519359,-0.09507167773182146,0.0,0.0,,
baseline_zero,y_XLV,3,34,0.006463251350168264,0.0077349713676739,-0.020826797934774044,0.0,0.0,,
baseline_zero,y_XLV,4,32,0.006819987255952377,0.008340994063309015,-0.06076247143663238,0.0,0.0,,
baseline_zero,y_XLV,5,28,0.006170350486343175,0.007305357473128082,-0.005834783405080701,0.0,0.0,,
baseline_zero,y_XLV,6,29,0.006457326607152875,0.007559168023478924,-0.009142728273534129,0.0,0.0,,
baseline_zero,y_XLV,7,30,0.006388764735531838,0.007295624378932473,-0.015163281458652422,0.0,0.0,,
baseline_zero,y_XLV,8,34,0.006019747621143219,0.007212211408910724,-0.0011266130515112938,0.0,0.0,,
baseline_zero,y_XLV,9,35,0.009717424143408355,0.014929730704229057,-0.02586301601525176,0.0,0.0,,
baseline_zero,y_XLV,10,35,0.010974686569074391,0.01595847728541372,-0.019030119425446745,0.0,0.0,,
baseline_zero,y_XLV,11,35,0.014306880410671921,0.018567328949983763,-0.05235412697809716,0.0,0.0,,
baseline_zero,y_XLV,12,34,0.010247279894354817,0.013075606385768873,-0.008467320184774474,0.0,0.0,,
baseline_zero,y_XLV,13,35,0.009888407357970141,0.012685792279333528,-0.008299667448322667,0.0,0.0,,
baseline_zero,y_XLV,14,34,0.008177293265457323,0.010307260777766768,-0.005521207743815815,0.0,0.0,,
baseline_zero,y_XLV,15,34,0.008595357101142346,0.01058017438721395,-0.011237186601914306,0.0,0.0,,
baseline_zero,y_XLV,16,33,0.00712665891981463,0.009239268420851598,-0.011941204504548164,0.030303030303030304,0.030303030303030304,,
baseline_zero,y_XLV,17,33,0.007412434841962015,0.010232114901802319,-0.09037894414482306,0.030303030303030304,0.030303030303030304,,
baseline_zero,y_XLV,18,34,0.006378158405572138,0.0095637584930369,-0.032479841840952206,0.029411764705882353,0.029411764705882353,,
baseline_zero,y_XLV,19,35,0.00710766030295504,0.010487973236346156,-0.08932101364885048,0.0,0.0,,
baseline_zero,y_XLV,20,34,0.006305781880504281,0.008785360202867397,-0.09926676929894995,0.0,0.0,,
baseline_zero,y_XLV,21,29,0.007176132114613722,0.009576223368141365,-0.0852513014455678,0.0,0.0,,
baseline_zero,y_XLV,22,27,0.007127387825337165,0.008867538782358853,-0.004281969105023098,0.0,0.0,,
baseline_zero,y_XLV,23,29,0.007416676149810204,0.00891576436513821,-0.0010747819525023239,0.0,0.0,,
baseline_zero,y_XLV,24,33,0.007704301905076518,0.009495100410000295,-0.009214141894105188,0.0,0.0,,
baseline_zero,y_XLI,0,35,0.0061672080928252306,0.008077588931490489,-0.18579880833706808,0.0,0.0,,
baseline_zero,y_XLI,1,35,0.005893829419124968,0.007375682751260911,-0.027669883275774243,0.0,0.0,,
baseline_zero,y_XLI,2,37,0.007429555387039572,0.010306216915781086,-0.019504646094837597,0.0,0.0,,
baseline_zero,y_XLI,3,34,0.0076501438424506005,0.010644195024098014,-0.005120675577177547,0.0,0.0,,
baseline_zero,y_XLI,4,32,0.008110392997198217,0.011555306132554174,-0.0014582669316325347,0.0,0.0,,
baseline_zero,y_XLI,5,28,0.006830333902676788,0.009011923335657998,-0.004021818088396856,0.0,0.0,,
baseline_zero,y_XLI,6,29,0.006416543966602154,0.008467766506956681,-0.0012451630215641885,0.0,0.0,,
baseline_zero,y_XLI,7,30,0.005625036326607776,0.007461717308250236,-0.018198921529250622,0.0,0.0,,
baseline_zero,y_XLI,8,34,0.007253533927752879,0.009360964548928355,-0.010188714778308405,0.0,0.0,,
baseline_zero,y_XLI,9,35,0.01427897867926189,0.023315367207336683,-0.013093776639908628,0.0,0.0,,
baseline_zero,y_XLI,10,35,0.01581216843323517,0.0238554070003585,-3.112548245720603e-05,0.0,0.0,,
baseline_zero,y_XLI,11,35,0.01454547019957611,0.0233234743301271,-0.0012957870044263409,0.0,0.0,,
baseline_zero,y_XLI,12,34,0.007125350271895938,0.009172903773819054,-0.08565237445960316,0.0,0.0,,
baseline_zero,y_XLI,13,35,0.005598719571899217,0.0072439258215473415,-0.037540928194707224,0.0,0.0,,
baseline_zero,y_XLI,14,34,0.004992082163624587,0.006671945655819349,-0.015052396200688989,0.0,0.0,,
baseline_zero,y_XLI,15,34,0.005671096778665223,0.007401969558185517,-0.012746856963200992,0.0,0.0,,
baseline_zero,y_XLI,16,33,0.005781493326850645,0.007286228167171348,-0.0004135630453385719,0.0,0.0,,
baseline_zero,y_XLI,17,33,0.006573594781217148,0.008149188633461427,-0.0027398164599758967,0.0,0.0,,
baseline_zero,y_XLI,18,34,0.006682608550272127,0.008154498284744861,-0.0004535179769959985,0.0,0.0,,
baseline_zero,y_XLI,19,35,0.006787416899016116,0.008629398568785291,-0.026177895802807827,0.0,0.0,,
baseline_zero,y_XLI,20,34,0.007007358720446081,0.008577142407426842,-0.014012853060370256,0.0,0.0,,
baseline_zero,y_XLI,21,29,0.007476088941106407,0.008965664256740518,-0.002468362772088062,0.0,0.0,,
baseline_zero,y_XLI,22,27,0.008353144208612119,0.00943531114442617,-0.06449835645831903,0.0,0.0,,
baseline_zero,y_XLI,23,29,0.008045777213579026,0.009825347618713065,-0.03320076355806889,0.0,0.0,,
baseline_zero,y_XLI,24,33,0.008487807784621756,0.010537349216532882,-0.013864223310921409,0.0,0.0,,
baseline_zero,y_XLY,0,35,0.010380670337228953,0.013087395780711148,-0.1068787906965476,0.0,0.0,,
baseline_zero,y_XLY,1,35,0.008219592084498264,0.010789638578041896,-0.05871171955470156,0.0,0.0,,
baseline_zero,y_XLY,2,37,0.009369971435976303,0.012045540796596924,-0.06126384283286734,0.0,0.0,,
baseline_zero,y_XLY,3,34,0.009456038486666625,0.012279195405646292,-0.09945227817546076,0.0,0.0,,
baseline_zero,y_XLY,4,32,0.010996848898061493,0.014655851519042695,-0.024984871319779334,0.0,0.0,,
baseline_zero,y_XLY,5,28,0.010326271970409362,0.014446352399791893,-0.021011995626642355,0.0,0.0,,
baseline_zero,y_XLY,6,29,0.010372052592977339,0.014211183376435024,-0.00022586876463726036,0.0,0.0,,
baseline_zero,y_XLY,7,30,0.009349331168389107,0.011908799670954309,-0.005550699298334516,0.0,0.0,,
baseline_zero,y_XLY,8,34,0.010252713007910527,0.012864642275252955,-0.04373683974795117,0.0,0.0,,
baseline_zero,y_XLY,9,35,0.018139317407232795,0.027238010224289233,-0.018412694239088756,0.0,0.0,,
