model,target,strategy,threshold,cost_bps,n_obs,active_rate,hit_rate,cum_return,mean_ret,std_ret,sharpe
rf,y_XLY,long_short,0.0,1.0,823,1.0,0.4993924665856622,-0.2868263651250545,-0.0002995586586467,0.0147839551417741,-0.321655892319046
rf,y_XLY,long_flat,0.0005,1.0,823,0.3997569866342649,0.2065613608748481,0.0078628644710105,4.686932379356749e-05,0.0086113052181827,0.086401240044568
rf,y_XLY,long_short,0.0005,1.0,823,0.8651275820170109,0.4374240583232078,-0.094368650639212,-2.714142095960176e-05,0.0135683723970575,-0.0317544866782674
rf,y_XLY,long_flat,0.001,1.0,823,0.3353584447144593,0.1713244228432563,-0.005205750550167,2.542185373940325e-05,0.0079365316490569,0.050848334639006
rf,y_XLY,long_short,0.001,1.0,823,0.7132442284325637,0.3596597812879708,0.0731547755076094,0.0001502728821599,0.0113439109381541,0.2102897371953819
rf,y_XLY,long_flat,0.002,1.0,823,0.2102065613608748,0.0984204131227217,-0.0693334896777326,-6.291153994501723e-05,0.0069472083079147,-0.1437541083381574
rf,y_XLY,long_short,0.002,1.0,823,0.4629404617253949,0.2162818955042527,-0.204596605486292,-0.0002333212769333,0.009443697290143,-0.392204486471659
rf,y_XLY,long_flat,0.003,1.0,823,0.1227217496962333,0.0534629404617253,-0.06675608541679,-6.885767629043952e-05,0.005474248927579,-0.1996770220708896
rf,y_XLY,long_short,0.003,1.0,823,0.2733900364520049,0.1215066828675577,-0.2942460330014492,-0.0003995505504262,0.0068778998619532,-0.9221809684736618
rf,y_XLY,long_flat,0.005,1.0,823,0.0376670716889428,0.0157958687727825,-0.0061020107269802,-5.499424144059163e-06,0.0019688983815402,-0.0443398464105466
rf,y_XLY,long_short,0.005,1.0,823,0.0959902794653706,0.0413122721749696,-0.1523251832103157,-0.0001948463169718,0.0034356800518693,-0.900284469103384
ridge,y_BTC-USD,long_flat,0.0,1.0,1500,0.5293333333333333,0.2513333333333333,-0.2243165228361689,-1.4501628737970008e-05,0.0176806802701123,-0.01302021279495
ridge,y_BTC-USD,long_short,0.0,1.0,1500,1.0,0.4673333333333333,-0.8555038385361067,-0.0010019261940429,0.0239970864034804,-0.6627923482647653
ridge,y_BTC-USD,long_flat,0.0005,1.0,1500,0.516,0.244,-0.2866601180371133,-7.316210161492198e-05,0.0175191150720865,-0.0662940081635755
ridge,y_BTC-USD,long_short,0.0005,1.0,1500,0.98,0.4586666666666666,-0.8638441589625968,-0.0010453357447543,0.0238353825149615,-0.6961998823683037
ridge,y_BTC-USD,long_flat,0.001,1.0,1500,0.5013333333333333,0.2366666666666666,-0.3271291040993516,-0.0001135261357105,0.0174361417040264,-0.103358390002143
ridge,y_BTC-USD,long_short,0.001,1.0,1500,0.9526666666666668,0.4453333333333333,-0.8719336554991942,-0.0010906326406557,0.0236438527131687,-0.7322519152636202
ridge,y_BTC-USD,long_flat,0.002,1.0,1500,0.482,0.226,-0.3801019250069011,-0.0001716675971808,0.0172342495815825,-0.1581234279421653
ridge,y_BTC-USD,long_short,0.002,1.0,1500,0.9193333333333332,0.4286666666666666,-0.8818382101602036,-0.0011489832837813,0.0234411736471814,-0.7780985905937098
ridge,y_BTC-USD,long_flat,0.003,1.0,1500,0.4606666666666666,0.216,-0.4432626055238616,-0.0002543691792904,0.0165547373002142,-0.2439172222660942
ridge,y_BTC-USD,long_short,0.003,1.0,1500,0.882,0.4093333333333333,-0.8972325985330003,-0.0012556796662294,0.0228292903284866,-0.8731457024027611
ridge,y_BTC-USD,long_flat,0.005,1.0,1500,0.4186666666666667,0.1913333333333333,-0.6621356230247167,-0.0006019994222777,0.0156033179293848,-0.6124623370336179
ridge,y_BTC-USD,long_short,0.005,1.0,1500,0.8053333333333333,0.3706666666666666,-0.9253903371850244,-0.0014889215484616,0.0219125022934606,-1.0786489154431975
ridge,y_GLD,long_flat,0.0,1.0,823,0.5492102065613609,0.2952612393681652,0.2528233948885987,0.0003137366749236,0.0088919173071501,0.5601058964015843
ridge,y_GLD,long_short,0.0,1.0,823,1.0,0.4507897934386391,-0.4893672215181587,-0.0007340068500366,0.012851782334019,-0.9066444802793197
ridge,y_GLD,long_flat,0.0005,1.0,823,0.5370595382746051,0.2879708383961117,0.2382715921104166,0.0002991607657439,0.0088496098222791,0.5366372105085259
ridge,y_GLD,long_short,0.0005,1.0,823,0.976913730255164,0.4398541919805589,-0.4908923302797222,-0.0007385724196488,0.0127786932190079,-0.917501773042976
ridge,y_GLD,long_flat,0.001,1.0,823,0.5176184690157959,0.2818955042527339,0.2522445743182664,0.0003122570510561,0.0087882873750049,0.5640378838115992
ridge,y_GLD,long_short,0.001,1.0,823,0.9477521263669502,0.4313487241798299,-0.4707344986791248,-0.0006925255811451,0.0126922379195564,-0.8661595264160844
ridge,y_GLD,long_flat,0.002,1.0,823,0.4763061968408262,0.2600243013365735,0.2669167264431225,0.0003246795320862,0.0085891481952518,0.6000743809504715
ridge,y_GLD,long_short,0.002,1.0,823,0.8736330498177399,0.3985419198055893,-0.4025337823471669,-0.0005506656779348,0.0122747347641042,-0.7121576803182892
ridge,y_GLD,long_flat,0.003,1.0,823,0.4483596597812879,0.2417982989064398,0.2150214911143702,0.0002713593125365,0.0082984294951188,0.519097685171974
ridge,y_GLD,long_short,0.003,1.0,823,0.8165249088699879,0.3742405832320777,-0.3278344053764127,-0.000413238712105,0.0118176253319232,-0.5550997769650401
ridge,y_GLD,long_flat,0.005,1.0,823,0.3863912515188335,0.2138517618469015,0.2859607723177844,0.0003382423639637,0.0080431446118963,0.6675785810870044
ridge,y_GLD,long_short,0.005,1.0,823,0.7181044957472661,0.3280680437424058,-0.2351149011966652,-0.000260992246885,0.0114147881250903,-0.3629610493720878
ridge,y_TLT,long_flat,0.0,1.0,823,0.5637910085054678,0.2685297691373025,-0.2527038531906278,-0.0003382376494846,0.0055882988905239,-0.9608212324786884
ridge,y_TLT,long_short,0.0,1.0,823,1.0,0.4714459295261239,-0.3480514498989028,-0.0004915264809551,0.0074998858782766,-1.0403812958089285
ridge,y_TLT,long_flat,0.0005,1.0,823,0.5540704738760632,0.2648845686512758,-0.2425388877476798,-0.0003219662646049,0.0055633844711275,-0.9186954499922486
ridge,y_TLT,long_short,0.0005,1.0,823,0.970838396111786,0.4605103280680437,-0.3187043710065724,-0.0004389575097449,0.0073780627288858,-0.9444531305182344
ridge,y_TLT,long_flat,0.001,1.0,823,0.5443499392466585,0.2575941676792223,-0.2521727556442029,-0.0003377496928042,0.0055208719676973,-0.971152779246214
ridge,y_TLT,long_short,0.001,1.0,823,0.9465370595382746,0.4471445929526124,-0.3047969760229392,-0.0004149940081187,0.0072993149119709,-0.9025265693881552
ridge,y_TLT,long_flat,0.002,1.0,823,0.5249088699878494,0.2478736330498177,-0.2604330509693147,-0.0003518778710056,0.0054039357193649,-1.0336703323967669
ridge,y_TLT,long_short,0.002,1.0,823,0.8979343863912516,0.4204131227217497,-0.3512520933218214,-0.0005010726751754,0.0070054841554257,-1.1354364590981658
ridge,y_TLT,long_flat,0.003,1.0,823,0.4945321992709599,0.2345078979343864,-0.2279232795899164,-0.0003002761498112,0.0052823796174867,-0.9023842373022486
ridge,y_TLT,long_short,0.003,1.0,823,0.8493317132442284,0.3997569866342649,-0.3071274314768706,-0.0004222353567031,0.0068502803397023,-0.9784677646846108
ridge,y_TLT,long_flat,0.005,1.0,823,0.4325637910085054,0.2041312272174969,-0.1999675040941897,-0.00025872537484,0.004959428890149,-0.8281473712207422
ridge,y_TLT,long_short,0.005,1.0,823,0.7496962332928311,0.347509113001215,-0.2940462022896462,-0.0004024168121681,0.0064124327462621,-0.9962161168946974
ridge,y_UUP,long_flat,0.0,1.0,823,0.4483596597812879,0.2417982989064398,-0.0966521258996147,-0.0001187802759841,0.0030689605057948,-0.6144029621502658
ridge,y_UUP,long_short,0.0,1.0,823,1.0,0.4520048602673147,-0.2711933127464251,-0.0003739037349913,0.0045607794976059,-1.3014305527173322
ridge,y_UUP,long_flat,0.0005,1.0,823,0.4046172539489672,0.2187120291616039,-0.09335725183605,-0.0001148125467463,0.0029170035107643,-0.6248167579363619
