model,target,fold_id,n_samples,mae,rmse,r2,directional_accuracy,hit_rate,pearson,spearman
knn,y_GLD,22,27,0.006447605314762587,0.008098782164020912,-0.40518723011483426,0.37037037037037035,0.37037037037037035,-0.2610862498111183,-0.2686202686202686
knn,y_GLD,23,29,0.01742818019582505,0.02775970983724267,-0.044198084598992216,0.3103448275862069,0.3103448275862069,-0.22702377495229917,-0.2467980295566502
knn,y_GLD,24,33,0.019340329272266147,0.027922634890406764,-0.02963303677540363,0.45454545454545453,0.45454545454545453,-0.1265608289852933,-0.09859625668449198
knn,y_BTC-USD,0,60,0.023590451353964058,0.03227984997770237,-0.1938734986731654,0.43333333333333335,0.43333333333333335,-0.08089311240124072,-0.03089747151986664
knn,y_BTC-USD,1,60,0.018481221624764694,0.02298481983421112,-0.3245239347384048,0.4666666666666667,0.4666666666666667,-0.06541421146518764,-0.06712975826618506
knn,y_BTC-USD,2,60,0.021530055917796435,0.030061914049041245,-0.3675707782915074,0.43333333333333335,0.43333333333333335,-0.09153332959861049,-0.04451236454570715
knn,y_BTC-USD,3,60,0.021346112685552275,0.02990167171937944,-0.39268676727436524,0.48333333333333334,0.48333333333333334,-0.052154127177813696,-0.029119199777716036
knn,y_BTC-USD,4,60,0.02342328092419322,0.03237059693784754,-0.34172077737011475,0.5,0.5,-0.11841203338666183,-0.09213670464017785
knn,y_BTC-USD,5,60,0.02060779615485914,0.02697843702556371,-0.40106896509330237,0.4,0.4,-0.12356207663473714,-0.09058071686579607
knn,y_BTC-USD,6,60,0.01921921633313129,0.025109089900528823,-0.20927453456623235,0.5,0.5,-0.07429385950889986,-0.06724090025006949
knn,y_BTC-USD,7,60,0.017374730149903556,0.022707012097315633,-0.10783896702714846,0.5666666666666667,0.5666666666666667,0.005989992388136672,0.006890803000833567
knn,y_BTC-USD,8,60,0.020611548044284847,0.0271700748417762,-0.022179581239280433,0.55,0.55,0.10317846778770058,0.04195609891636567
knn,y_BTC-USD,9,60,0.023539327246050606,0.03138445570455656,-0.05160194607771129,0.55,0.55,0.03832547732772708,0.017727146429563773
knn,y_BTC-USD,10,60,0.023986373178322307,0.03223012682043201,-0.15614856636176633,0.4666666666666667,0.4666666666666667,-0.050090651524203784,-0.1196999166435121
knn,y_BTC-USD,11,60,0.019989869399839856,0.027553220589991455,-0.28338229428225215,0.4666666666666667,0.4666666666666667,-0.14258221224566653,-0.16237843845512645
knn,y_BTC-USD,12,60,0.015165116920655978,0.02202270869451641,-0.4066463336753625,0.48333333333333334,0.48333333333333334,-0.15493928662962225,-0.13856819351425498
knn,y_BTC-USD,13,60,0.014639771131818358,0.019714138659619934,-0.29163895960230746,0.45,0.45,0.007444230229935925,0.010836343428730204
knn,y_BTC-USD,14,60,0.012383672572257256,0.01624816042443652,-0.22340153250724915,0.43333333333333335,0.43333333333333335,0.08026104166361125,0.06085023617671577
