model,target,fold_id,n_samples,mae,rmse,r2,directional_accuracy,hit_rate,pearson,spearman
ridge,y_XLI,1,35,0.0237285931988931,0.0311310403960544,-17.307811950278627,0.4285714285714285,0.4285714285714285,0.2076259941957614,0.0168067226890756
ridge,y_XLI,2,37,0.0372822668688129,0.0604677897696784,-34.094482323507194,0.4324324324324324,0.4324324324324324,0.1265271571744068,0.1133238501659554
ridge,y_XLI,3,34,0.0309363657818385,0.0472148367870346,-18.776505110332323,0.4411764705882353,0.4411764705882353,0.1065609177569291,0.095492742551566
ridge,y_XLI,4,32,0.0311441047230071,0.0465301417018065,-15.23823023941594,0.46875,0.46875,0.0556567910836523,0.0700146627565982
ridge,y_XLI,5,28,0.0190785021228156,0.0236197543893343,-5.896979385637623,0.3571428571428571,0.3571428571428571,0.1875419596525664,0.1247947454844006
ridge,y_XLI,6,29,0.0273964248728933,0.0462339188886907,-28.848608949688977,0.3793103448275862,0.3793103448275862,-0.0592792044052013,0.0123152709359605
ridge,y_XLI,7,30,0.0342499834397626,0.0493999203186586,-43.62801254841503,0.4666666666666667,0.4666666666666667,-0.0178755114296495,0.0077864293659621
ridge,y_XLI,8,34,0.033568148223111,0.049783399968398,-27.571327447390075,0.5882352941176471,0.5882352941176471,-0.0382604966434155,-0.0236822001527883
ridge,y_XLI,9,35,0.0363032479693661,0.0488041780641286,-3.438938559811512,0.5142857142857142,0.5142857142857142,-0.0586247910176134,-0.1798319327731092
ridge,y_XLI,10,35,0.0317262694815955,0.0393619732107625,-1.7226610550733632,0.3714285714285714,0.3714285714285714,-0.2065806560713565,-0.3753501400560224
ridge,y_XLI,11,35,0.0346294442807891,0.0463126426866564,-2.947980749092599,0.3714285714285714,0.3714285714285714,-0.1671667124718458,-0.3778711484593838
ridge,y_XLI,12,34,0.0249224186886778,0.0371127956488926,-16.771514974436318,0.2941176470588235,0.2941176470588235,-0.3673258317956744,-0.4640183346065698
ridge,y_XLI,13,35,0.0183917094138807,0.02783686044012,-14.32137536948902,0.4,0.4,-0.0955605866765119,-0.1854341736694678
ridge,y_XLI,14,34,0.0129906576661529,0.0165418962940564,-5.239561186350651,0.3823529411764705,0.3823529411764705,0.1027328907071121,-0.0701298701298701
ridge,y_XLI,15,34,0.0122105193614432,0.0160733365915882,-3.775494986264509,0.4705882352941176,0.4705882352941176,0.1585164196462059,0.093353705118411
ridge,y_XLI,16,33,0.012055939524956,0.0147606497031885,-3.105678936340964,0.4242424242424242,0.4242424242424242,0.1458636908362515,0.0825534759358288
ridge,y_XLI,17,33,0.0141537501606638,0.0184063584455158,-4.11558457346608,0.5151515151515151,0.5151515151515151,-0.0022626487868025,0.0220588235294117
ridge,y_XLI,18,34,0.015704940818521,0.0199204527360917,-4.970364321119292,0.5588235294117647,0.5588235294117647,-0.0701098237762743,-0.0734912146676852
ridge,y_XLI,19,35,0.0162104034531008,0.0199504984171794,-4.484904861151244,0.4857142857142857,0.4857142857142857,-0.1299191891888083,-0.1327731092436975
ridge,y_XLI,20,34,0.0185513735956736,0.0267934674953983,-8.895005999799658,0.5,0.5,-0.0809544364690435,-0.0737967914438502
ridge,y_XLI,21,29,0.0186283617374097,0.0274989189881726,-8.430548992457265,0.5172413793103449,0.5172413793103449,-0.1072859569815139,-0.0517241379310344
ridge,y_XLI,22,27,0.0190363167671453,0.0274939971509625,-8.038748642564405,0.5185185185185185,0.5185185185185185,-0.0056355673981654,0.0225885225885225
ridge,y_XLI,23,29,0.0143049311997944,0.0186143652467184,-2.708389407405277,0.4482758620689655,0.4482758620689655,-0.2795401032993682,-0.2620689655172413
ridge,y_XLI,24,33,0.0157663297153673,0.0220524253628294,-3.440478519902755,0.4848484848484848,0.4848484848484848,-0.4148459823808178,-0.2864304812834224
ridge,y_XLY,0,35,0.039768404842445,0.0519873835360407,-16.46584148145174,0.5714285714285714,0.5714285714285714,0.0832265656519637,0.1593837535014005
ridge,y_XLY,1,35,0.0413484463281807,0.0539948917667806,-25.513635160573152,0.5142857142857142,0.5142857142857142,0.222795824875139,0.342296918767507
ridge,y_XLY,2,37,0.0509706913932514,0.0741480677222235,-39.21336707724341,0.5135135135135135,0.5135135135135135,0.1262854384214156,0.1614509246088193
ridge,y_XLY,3,34,0.0403905820095687,0.0577744399952391,-23.33929819302508,0.5,0.5,-0.0035923398693974,-0.0429335370511841
ridge,y_XLY,4,32,0.0388067233442512,0.0536410867765126,-12.73063045394017,0.40625,0.40625,-0.0060663614548484,-0.0351906158357771
ridge,y_XLY,5,28,0.0314503874908266,0.0426127834573311,-7.883707308929617,0.5,0.5,0.0275484837507795,-0.0191570881226053
ridge,y_XLY,6,29,0.0388429712416151,0.0565451327087987,-14.835364004923038,0.5862068965517241,0.5862068965517241,-0.0106805209901483,0.1118226600985221
ridge,y_XLY,7,30,0.0528944836569829,0.0743331656292396,-38.17718704733384,0.5333333333333333,0.5333333333333333,-0.0982024481115744,-0.0433815350389321
ridge,y_XLY,8,34,0.0484253620851209,0.0731701979629378,-32.76478929591246,0.5882352941176471,0.5882352941176471,-0.0694495118267046,-0.0478227654698242
ridge,y_XLY,9,35,0.0441786088261126,0.0673316071581989,-5.223160597360319,0.5714285714285714,0.5714285714285714,-0.0264389321282928,-0.1588235294117647
ridge,y_XLY,10,35,0.0338828427110978,0.0454348362154014,-1.6138636507558617,0.5142857142857142,0.5142857142857142,-0.0667658462157707,-0.0868347338935574
ridge,y_XLY,11,35,0.0414483676410636,0.0597894759481467,-3.884375465543851,0.4285714285714285,0.4285714285714285,-0.1150368839686187,-0.1985994397759103
ridge,y_XLY,12,34,0.0341362177994033,0.0521386031357843,-15.50001735951129,0.3529411764705882,0.3529411764705882,-0.2806135150919996,-0.3423987776928953
ridge,y_XLY,13,35,0.0311489563448173,0.0427243536165558,-18.46186458438962,0.3428571428571428,0.3428571428571428,-0.2473603327943395,-0.3420168067226891
ridge,y_XLY,14,34,0.024165843392301,0.0294544148930433,-6.933613844157858,0.3823529411764705,0.3823529411764705,-0.1498323488308724,-0.1624140565317035
ridge,y_XLY,15,34,0.0240600551723201,0.0294317824967464,-7.152093632304741,0.3235294117647059,0.3235294117647059,-0.2360151716937133,-0.2498090145148968
ridge,y_XLY,16,33,0.0199848036272162,0.0253791268152211,-4.663100538246036,0.4242424242424242,0.4242424242424242,-0.1089931712486306,-0.080548128342246
ridge,y_XLY,17,33,0.028359494040971,0.0574016228096271,-26.395487921186923,0.4242424242424242,0.4242424242424242,-0.157611661605266,-0.0818850267379679
ridge,y_XLY,18,34,0.0287477485015497,0.0549408111273058,-22.095319980475065,0.4411764705882353,0.4411764705882353,-0.1462821096148265,-0.0521008403361344
ridge,y_XLY,19,35,0.0299342421388939,0.056594102962559,-19.02330274445639,0.4857142857142857,0.4857142857142857,-0.0857216070211438,-0.0019607843137254
ridge,y_XLY,20,34,0.0264238180003473,0.0377176989902688,-8.284162232896952,0.4117647058823529,0.4117647058823529,-0.0743504925677152,-0.0844919786096256
ridge,y_XLY,21,29,0.0271071502079061,0.0401281032097371,-10.732856062810216,0.4482758620689655,0.4482758620689655,-0.0784798378129019,-0.070935960591133
ridge,y_XLY,22,27,0.0261672036030739,0.0343719945479835,-15.127789145181817,0.4074074074074074,0.4074074074074074,-0.1252181328870111,-0.1697191697191697
ridge,y_XLY,23,29,0.0223520515177703,0.0264324259316322,-7.9966264496043955,0.4482758620689655,0.4482758620689655,0.0014089792202043,0.0049261083743842
ridge,y_XLY,24,33,0.0207847128990263,0.0247942201050693,-5.7389113268261385,0.4848484848484848,0.4848484848484848,-0.0298682294910147,-0.035427807486631
ridge,y_XLP,0,35,0.0199341995728902,0.0276173484151727,-24.19904068809859,0.4,0.4,0.10335425589685,-0.0308123249299719
ridge,y_XLP,1,35,0.0205528126971066,0.0272437791025151,-25.586844664834896,0.3428571428571428,0.3428571428571428,-0.1442070433025994,-0.269467787114846
ridge,y_XLP,2,37,0.0261150116811002,0.0335426867660528,-29.847126105730386,0.4054054054054054,0.4054054054054054,0.0609048586358914,-0.0862968231389283
ridge,y_XLP,3,34,0.025895987105808,0.0325830201924425,-27.34057789553125,0.3529411764705882,0.3529411764705882,-0.0133525099014978,-0.1779984721161191
ridge,y_XLP,4,32,0.0256639555598507,0.0330639969030266,-23.3388653244718,0.34375,0.34375,0.0829433558020527,-0.0476539589442815
ridge,y_XLP,5,28,0.0197826502524593,0.0306334122220525,-27.787140420775472,0.4642857142857143,0.4642857142857143,-0.2291784275360347,-0.1696770662287903
ridge,y_XLP,6,29,0.0240867331912334,0.0356675359072529,-29.56071260756759,0.5172413793103449,0.5172413793103449,-0.010620415932533,-0.0315270935960591
ridge,y_XLP,7,30,0.0288279913818002,0.0384705753750273,-21.37963772062841,0.5666666666666667,0.5666666666666667,0.0385488474100838,0.0682981090100111
ridge,y_XLP,8,34,0.024826252594357,0.031622925409141,-10.14954400434824,0.5294117647058824,0.5294117647058824,0.1661734941321656,0.1550802139037433
ridge,y_XLP,9,35,0.0216244039831013,0.0271244221696403,-2.812992056933544,0.5714285714285714,0.5714285714285714,0.1603278440790348,0.1061624649859944
ridge,y_XLP,10,35,0.0205292525330398,0.0296740095575591,-3.64795391509236,0.5428571428571428,0.5428571428571428,0.155033449398819,0.1904761904761905
ridge,y_XLP,11,35,0.0194465559820589,0.0269318289589662,-2.928291666612252,0.6,0.6,0.071108779023279,0.1137254901960784
ridge,y_XLP,12,34,0.0166856371147904,0.0234490982586417,-6.035409476071283,0.6470588235294118,0.6470588235294118,0.0237898183257238,-0.0655462184873949
ridge,y_XLP,13,35,0.0124840225892925,0.0175210745283159,-4.626265663570599,0.7428571428571429,0.7428571428571429,0.0554127101285726,0.1033613445378151
ridge,y_XLP,14,34,0.0118590723438663,0.0167257990657923,-5.551099397254698,0.6470588235294118,0.6470588235294118,-0.198172035904294,-0.0652406417112299
ridge,y_XLP,15,34,0.0102674539836192,0.0146284717475688,-4.21900062879589,0.5588235294117647,0.5588235294117647,-0.0312613093060916,0.0970280390943901
ridge,y_XLP,16,33,0.0121764465813793,0.0167724037691324,-6.32858109652076,0.4545454545454545,0.4545454545454545,-0.2405940533117481,-0.1911924465604011
ridge,y_XLP,17,33,0.0208382836736212,0.0473269090670297,-70.26349163042096,0.3939393939393939,0.3939393939393939,-0.3091119760215388,-0.1226604278074866
ridge,y_XLP,18,34,0.0232888493292749,0.047234617884603,-40.26705047118816,0.3529411764705882,0.3529411764705882,-0.3433192164790866,-0.4872421695951108
ridge,y_XLP,19,35,0.0232739063930467,0.0458778750422267,-33.15562482483124,0.4,0.4,-0.3403709500515023,-0.430812324929972
ridge,y_XLP,20,34,0.0158337019589631,0.0207810046466793,-5.284149003941404,0.3235294117647059,0.3235294117647059,-0.3936791902054637,-0.4282658517952635
ridge,y_XLP,21,29,0.013797364769868,0.0175084053450568,-6.141430320168728,0.3103448275862069,0.3103448275862069,-0.3364979544638261,-0.3216748768472905
ridge,y_XLP,22,27,0.0144543556386243,0.0183200434480514,-4.4011200539673565,0.3333333333333333,0.3333333333333333,-0.1175239000117237,-0.1282051282051282
ridge,y_XLP,23,29,0.0118020913570899,0.0151718034761989,-2.000649058833552,0.3793103448275862,0.3793103448275862,-0.0947172326877197,-0.1379310344827586
ridge,y_XLP,24,33,0.0121021891474996,0.0171004013210147,-2.11542921026707,0.4242424242424242,0.4242424242424242,-0.0936497049882186,-0.052807486631016
ridge,y_XLB,0,35,0.022199100408247,0.0287441949364523,-9.904380400667923,0.5428571428571428,0.5428571428571428,0.1726990439885935,0.1117647058823529
ridge,y_XLB,1,35,0.0260505509166803,0.0340929913702366,-17.75488622447432,0.4857142857142857,0.4857142857142857,0.1418115148311055,0.0271708683473389
ridge,y_XLB,2,37,0.04172864021056,0.0740242348707938,-76.08861607362047,0.4594594594594595,0.4594594594594595,0.1249894442396627,0.0640113798008534
ridge,y_XLB,3,34,0.0387697650285827,0.0622269710695269,-67.29808579126738,0.4705882352941176,0.4705882352941176,0.0688011084675555,-0.0459893048128342
ridge,y_XLB,4,32,0.0332509969136257,0.0564548544640887,-38.7804618638847,0.5,0.5,0.0455187465281619,-0.0718475073313782
ridge,y_XLB,5,28,0.0207735136234497,0.0290503574029444,-8.925185523449809,0.4642857142857143,0.4642857142857143,0.1497457609156492,0.0793650793650793
ridge,y_XLB,6,29,0.0297822883310339,0.0475528998671605,-28.74154251220704,0.5172413793103449,0.5172413793103449,-0.0103697994791612,0.0241379310344827
ridge,y_XLB,7,30,0.040538911262723,0.0625523177084304,-61.64247782423946,0.5666666666666667,0.5666666666666667,-0.1760309575945708,0.0380422691879866
ridge,y_XLB,8,34,0.0400052584128051,0.0616202290628448,-45.71513213258074,0.5294117647058824,0.5294117647058824,-0.2367270419432475,-0.1621084797555385
ridge,y_XLB,9,35,0.0414316693611128,0.0601436369127779,-5.6388516591259945,0.4,0.4,-0.1756350958478616,-0.2817927170868347
ridge,y_XLB,10,35,0.0328330168119212,0.0424968454700046,-2.1908343547008675,0.2857142857142857,0.2857142857142857,-0.2577039134882273,-0.4131652661064426
ridge,y_XLB,11,35,0.0383119127111442,0.0487453710827431,-3.315276206000992,0.1714285714285714,0.1714285714285714,-0.23868275286267,-0.4689075630252101
ridge,y_XLB,12,34,0.0285572763205394,0.0383681200510616,-15.568806736926916,0.2352941176470588,0.2352941176470588,-0.3442020641899971,-0.4994652406417111
ridge,y_XLB,13,35,0.0244073903977567,0.0320263076094462,-13.905802510744149,0.4,0.4,-0.1297621524051862,-0.2364145658263305
ridge,y_XLB,14,34,0.0160783373488849,0.0201158884645778,-3.259113661384463,0.5588235294117647,0.5588235294117647,0.1418691072220914,0.0915202444614209
ridge,y_XLB,15,34,0.0136630638504987,0.0170738248872628,-2.1339269740939395,0.6176470588235294,0.6176470588235294,0.2829894978220877,0.2794713126041568
ridge,y_XLB,16,33,0.0145169258736902,0.0181028455185806,-2.511821306268937,0.5757575757575758,0.5757575757575758,0.2376618117060676,0.2550986434785606
ridge,y_XLB,17,33,0.0221951407564206,0.035469342482448,-13.427863732791268,0.4848484848484848,0.4848484848484848,-0.1078906626486419,-0.0070210635819787
ridge,y_XLB,18,34,0.0236913682943474,0.0337276022863973,-11.593631613670452,0.4411764705882353,0.4411764705882353,-0.1803309628848673,-0.1630252100840336
ridge,y_XLB,19,35,0.0266529380981551,0.0351300036663228,-11.375780100850356,0.3428571428571428,0.3428571428571428,-0.401458820219804,-0.419047619047619
