scope,model,target,strategy,cost_bps,best_by,best_threshold,metric_value,metric_at_threshold0
per_target,baseline_zero,y_XLRE,long_short,3.0,cum_return,0.0,0.0,0.0
per_target,baseline_zero,y_XLRE,long_short,3.0,sharpe,0.0,,
per_target,baseline_zero,y_XLU,long_flat,3.0,cum_return,0.0,0.0,0.0
per_target,baseline_zero,y_XLU,long_flat,3.0,sharpe,0.0,,
per_target,baseline_zero,y_XLU,long_short,3.0,cum_return,0.0,0.0,0.0
per_target,baseline_zero,y_XLU,long_short,3.0,sharpe,0.0,,
per_target,baseline_zero,y_XLV,long_flat,3.0,cum_return,0.0,0.0,0.0
per_target,baseline_zero,y_XLV,long_flat,3.0,sharpe,0.0,,
per_target,baseline_zero,y_XLV,long_short,3.0,cum_return,0.0,0.0,0.0
per_target,baseline_zero,y_XLV,long_short,3.0,sharpe,0.0,,
per_target,baseline_zero,y_XLY,long_flat,3.0,cum_return,0.0,0.0,0.0
per_target,baseline_zero,y_XLY,long_flat,3.0,sharpe,0.0,,
per_target,baseline_zero,y_XLY,long_short,3.0,cum_return,0.0,0.0,0.0
per_target,baseline_zero,y_XLY,long_short,3.0,sharpe,0.0,,
per_target,knn,y_BTC-USD,long_flat,3.0,cum_return,0.001,0.2835144182165019,0.2695870145348986
per_target,knn,y_BTC-USD,long_flat,3.0,sharpe,0.001,0.2964035504910185,0.2875837300653895
per_target,knn,y_BTC-USD,long_short,3.0,cum_return,0.0,-0.6657361365054536,-0.6657361365054536
per_target,knn,y_BTC-USD,long_short,3.0,sharpe,0.0,-0.2919952048699545,-0.2919952048699545
per_target,knn,y_GLD,long_flat,3.0,cum_return,0.0,0.0311247942378947,0.0311247942378947
per_target,knn,y_GLD,long_flat,3.0,sharpe,0.005,0.9414591669422044,0.1393723150911296
per_target,knn,y_GLD,long_short,3.0,cum_return,0.005,0.0257384995973639,-0.652324978844926
per_target,knn,y_GLD,long_short,3.0,sharpe,0.005,0.9414591669422044,-1.484207731775176
per_target,knn,y_TLT,long_flat,3.0,cum_return,0.005,0.0186031035917526,-0.1840711984784577
per_target,knn,y_TLT,long_flat,3.0,sharpe,0.005,1.0392029499060111,-0.970611143263684
per_target,knn,y_TLT,long_short,3.0,cum_return,0.005,0.0396453116332462,-0.2332088948418759
per_target,knn,y_TLT,long_short,3.0,sharpe,0.005,0.3136005844798121,-0.623091158513949
per_target,knn,y_UUP,long_flat,3.0,cum_return,0.005,0.0,-0.0262082404487453
per_target,knn,y_UUP,long_flat,3.0,sharpe,0.0,-0.0856196835758598,-0.0856196835758598
per_target,knn,y_UUP,long_short,3.0,cum_return,0.005,0.0,-0.1467501198647109
per_target,knn,y_UUP,long_short,3.0,sharpe,0.0,-0.6308115531221411,-0.6308115531221411
per_target,knn,y_XLB,long_flat,3.0,cum_return,0.002,0.051949133036858,-0.0534008795534289
per_target,knn,y_XLB,long_flat,3.0,sharpe,0.005,1.0000603110596833,-0.1544061032862271
per_target,knn,y_XLB,long_short,3.0,cum_return,0.001,-0.0993847139082034,-0.1682507016452508
per_target,knn,y_XLB,long_short,3.0,sharpe,0.001,-0.0835689407841426,-0.1896830122967092
per_target,knn,y_XLC,long_flat,3.0,cum_return,0.0,0.0014295726262436,0.0014295726262436
per_target,knn,y_XLC,long_flat,3.0,sharpe,0.0,0.0444729364025036,0.0444729364025036
per_target,knn,y_XLC,long_short,3.0,cum_return,0.005,-0.1785951159843223,-0.395984554513748
per_target,knn,y_XLC,long_short,3.0,sharpe,0.0,-0.7656010126709579,-0.7656010126709579
per_target,knn,y_XLE,long_flat,3.0,cum_return,0.005,0.1194311277282531,-0.1687734212592583
per_target,knn,y_XLE,long_flat,3.0,sharpe,0.005,1.04884494605877,-0.3952520885237283
per_target,knn,y_XLE,long_short,3.0,cum_return,0.005,0.6798903114498622,-0.5958795394105876
per_target,knn,y_XLE,long_short,3.0,sharpe,0.005,1.3814736607914502,-1.005941518217372
per_target,knn,y_XLF,long_flat,3.0,cum_return,0.001,0.2567228842963178,-0.1128669058351801
per_target,knn,y_XLF,long_flat,3.0,sharpe,0.001,0.9881953472514622,-0.2730085017819525
per_target,knn,y_XLF,long_short,3.0,cum_return,0.005,-0.1649172354993264,-0.4970842234495661
per_target,knn,y_XLF,long_short,3.0,sharpe,0.005,-0.7240241105710481,-0.9824031718872466
per_target,knn,y_XLI,long_flat,3.0,cum_return,0.0005,0.2482322287331604,0.1437266263665773
per_target,knn,y_XLI,long_flat,3.0,sharpe,0.0005,1.057271696593318,0.5740838711569607
per_target,knn,y_XLI,long_short,3.0,cum_return,0.0005,-0.1837297899518258,-0.2462095765759043
per_target,knn,y_XLI,long_short,3.0,sharpe,0.0005,-0.2535240529683544,-0.3684411369931432
per_target,knn,y_XLK,long_flat,3.0,cum_return,0.005,0.0292440611489763,-0.2670848441805573
per_target,knn,y_XLK,long_flat,3.0,sharpe,0.005,0.4882515706439883,-0.6222083987398941
per_target,knn,y_XLK,long_short,3.0,cum_return,0.005,-0.1580914349585975,-0.6662413979365606
per_target,knn,y_XLK,long_short,3.0,sharpe,0.005,-0.6886868883579911,-1.121547180126478
per_target,knn,y_XLP,long_flat,3.0,cum_return,0.001,0.0618772340564857,-0.0903492367286418
per_target,knn,y_XLP,long_flat,3.0,sharpe,0.005,0.8323149494322486,-0.2549799363219063
per_target,knn,y_XLP,long_short,3.0,cum_return,0.001,0.0712565607981121,-0.3971978188671413
per_target,knn,y_XLP,long_short,3.0,sharpe,0.005,0.8323149494322486,-1.086784162932208
per_target,knn,y_XLRE,long_flat,3.0,cum_return,0.0005,0.1276651343358861,0.007807812114758
per_target,knn,y_XLRE,long_flat,3.0,sharpe,0.0005,0.7360879022181912,0.0694383998452532
per_target,knn,y_XLRE,long_short,3.0,cum_return,0.003,0.1068169371843426,-0.145713513597282
per_target,knn,y_XLRE,long_short,3.0,sharpe,0.003,0.3092325885077776,-0.2061870749280261
per_target,knn,y_XLU,long_flat,3.0,cum_return,0.0,0.3961989300522537,0.3961989300522537
